"","origem","densidade"
"1","Cerrado",0.43
"2","Cerrado",0.52
"3","Cerrado",0.62
"4","Cerrado",0.58
"5","Cerrado",0.59
"6","Cerrado",0.61
"7","Cerrado",0.53
"8","Cerrado",0.55
"9","Cerrado",0.56
"10","Cerrado",0.35
"11","Cerrado",0.38
"12","Cerrado",0.41
"13","Cerrado",0.5
"14","Cerrado",0.52
"15","Cerrado",0.55
"16","Cerrado",0.53
"17","Cerrado",0.55
"18","Cerrado",0.56
"19","Cerrado",0.32
"20","Cerrado",0.35
"21","Cerrado",0.38
"22","Cerrado",0.43
"23","Cerrado",0.48
"24","Cerrado",0.53
"25","Cerrado",0.42
"26","Cerrado",0.47
"27","Cerrado",0.51
"28","Cerrado",0.27
"29","Cerrado",0.28
"30","Cerrado",0.3
"31","Cerrado",0.38
"32","Cerrado",0.39
"33","Cerrado",0.41
"34","Cerrado",0.41
"35","Cerrado",0.42
"36","Cerrado",0.43
"37","Cerrado",0.31
"38","Cerrado",0.32
"39","Cerrado",0.33
"40","Cerrado",0.4
"41","Cerrado",0.43
"42","Cerrado",0.45
"43","Cerrado",0.42
"44","Cerrado",0.46
"45","Cerrado",0.49
"46","Cerrado",0.3
"47","Cerrado",0.31
"48","Cerrado",0.33
"49","Cerrado",0.42
"50","Cerrado",0.43
"51","Cerrado",0.44
"52","Cerrado",0.45
"53","Cerrado",0.47
"54","Cerrado",0.48
"55","Cerrado",0.35
"56","Cerrado",0.37
"57","Cerrado",0.38
"58","Cerrado",0.43
"59","Cerrado",0.44
"60","Cerrado",0.46
"61","Cerrado",0.41
"62","Cerrado",0.46
"63","Cerrado",0.51
"64","Cerrado",0.35
"65","Cerrado",0.38
"66","Cerrado",0.41
"67","Cerrado",0.4
"68","Cerrado",0.42
"69","Cerrado",0.43
"70","Cerrado",0.42
"71","Cerrado",0.46
"72","Cerrado",0.51
"73","Cerrado",0.3
"74","Cerrado",0.31
"75","Cerrado",0.33
"76","Cerrado",0.42
"77","Cerrado",0.43
"78","Cerrado",0.44
"79","Cerrado",0.45
"80","Cerrado",0.47
"81","Cerrado",0.48
"82","Cerrado",0.35
"83","Cerrado",0.37
"84","Cerrado",0.38
"85","Cerrado",0.43
"86","Cerrado",0.44
"87","Cerrado",0.46
"88","Cerrado",0.41
"89","Cerrado",0.46
"90","Cerrado",0.51
"91","Cerrado",0.35
"92","Cerrado",0.38
"93","Cerrado",0.41
"94","Cerrado",0.4
"95","Cerrado",0.42
"96","Cerrado",0.43
"97","Cerrado",0.42
"98","Cerrado",0.46
"99","Cerrado",0.51
"100","Cerrado",0.32
"101","Cerrado",0.34
"102","Cerrado",0.36
"103","Cerrado",0.29
"104","Cerrado",0.32
"105","Cerrado",0.35
"106","Cerrado",0.36
"107","Cerrado",0.37
"108","Cerrado",0.39
"109","Cerrado",0.33
"110","Cerrado",0.34
"111","Cerrado",0.36
"112","Cerrado",0.35
"113","Cerrado",0.43
"114","Cerrado",0.17
"115","Cerrado",0.27
"116","Cerrado",0.37
"117","Cerrado",0.32
"118","Cerrado",0.35
"119","Cerrado",0.38
"120","Cerrado",0.46
"121","Cerrado",0.47
"122","Cerrado",0.47
"123","Cerrado",0.28
"124","Cerrado",0.3
"125","Cerrado",0.31
"126","Cerrado",0.41
"127","Cerrado",0.41
"128","Cerrado",0.42
"129","Cerrado",0.42
"130","Cerrado",0.3
"131","Cerrado",0.34
"132","Cerrado",0.38
"133","Cerrado",0.67
"134","Cerrado",0.5
"135","Cerrado",0.51
"136","Cerrado",0.43
"137","Cerrado",0.55
"138","Cerrado",0.6
"139","Cerrado",0.46
"140","Cerrado",0.58
"141","Cerrado",0.59
"142","Cerrado",0.68
"143","Cerrado",0.56
"144","Cerrado",0.51
"145","Cerrado",0.7
"146","Cerrado",0.54
"147","Cerrado",0.67
"148","Cerrado",0.63
"149","Cerrado",0.55
"150","Cerrado",0.51
"151","Cerrado",0.36
"152","Cerrado",0.48
"153","Cerrado",0.47
"154","Cerrado",0.5
"155","Cerrado",0.65
"156","Cerrado",0.87
"157","Cerrado",0.49
"158","Cerrado",0.64
"159","Cerrado",0.81
"160","Cerrado",0.35
"161","Cerrado",0.67
"162","Cerrado",0.9
"163","Cerrado",0.49
"164","Cerrado",0.69
"165","Cerrado",0.9
"166","Cerrado",0.57
"167","Cerrado",0.63
"168","Cerrado",0.79
"169","Cerrado",0.47
"170","Cerrado",0.65
"171","Cerrado",0.79
"172","Cerrado",0.5
"173","Cerrado",0.67
"174","Cerrado",0.9
"175","Cerrado",0.54
"176","Cerrado",0.68
"177","Cerrado",0.88
"178","Cerrado",0.82
"179","Cerrado",0.8
"180","Cerrado",0.78
"181","Cerrado",0.61
"182","Cerrado",0.58
"183","Cerrado",0.66
"184","Cerrado",0.5
"185","Cerrado",0.82
"186","Cerrado",0.43
"187","Cerrado",0.46
"188","Cerrado",0.5
"189","Cerrado",0.33
"190","Cerrado",0.37
"191","Cerrado",0.42
"192","Cerrado",0.41
"193","Cerrado",0.46
"194","Cerrado",0.51
"195","Cerrado",0.32
"196","Cerrado",0.41
"197","Cerrado",0.5
"198","Cerrado",0.42
"199","Cerrado",0.49
"200","Cerrado",0.56
"201","Cerrado",0.4
"202","Cerrado",0.45
"203","Cerrado",0.5
"204","Cerrado",0.57
"205","Cerrado",0.61
"206","Cerrado",0.65
"207","Cerrado",0.49
"208","Cerrado",0.51
"209","Cerrado",0.54
"210","Cerrado",0.45
"211","Cerrado",0.51
"212","Cerrado",0.56
"213","Cerrado",0.46
"214","Cerrado",0.5
"215","Cerrado",0.54
"216","Cerrado",0.47
"217","Cerrado",0.5
"218","Cerrado",0.53
"219","Cerrado",0.45
"220","Cerrado",0.49
"221","Cerrado",0.53
"222","Cerrado",0.44
"223","Cerrado",0.48
"224","Cerrado",0.51
"225","Cerrado",0.43
"226","Cerrado",0.51
"227","Cerrado",0.59
"228","Cerrado",0.45
"229","Cerrado",0.5
"230","Cerrado",0.55
"231","Cerrado",0.43
"232","Cerrado",0.5
"233","Cerrado",0.56
"234","Cerrado",0.57
"235","Cerrado",0.63
"236","Cerrado",0.69
"237","Cerrado",0.47
"238","Cerrado",0.52
"239","Cerrado",0.57
"240","Cerrado",0.59
"241","Cerrado",0.64
"242","Cerrado",0.69
"243","Cerrado",0.56
"244","Cerrado",0.61
"245","Cerrado",0.66
"246","Cerrado",0.57
